pbg_hcs	123.0	27.0
pbg_tbg	117.0	33.0
Q@0003	113.0	37.0
Q@0005	113.0	37.0
MSnDCG@0003	111.0	39.0
nERR@0003	109.0	41.0
nERR@0005	108.0	42.0
nDCG@0003	107.0	43.0
P-measure	102.0	48.0
ERR	102.0	48.0
MSnDCG@0005	102.0	48.0
P-plus	101.0	49.0
NCUgu,BR	100.0	50.0
nDCG@0005	99.0	51.0
O-measure	98.0	52.0
NCUrb,BR	92.0	58.0
NCUgu,P	91.0	59.0
Nor-lwfv-exp-binom	85.0	65.0
npbg_tbg	84.0	66.0
ERP	80.0	70.0
Q-measure	77.0	73.0
npbg_hcs	76.0	74.0
AP@0005	73.0	77.0
NCUrb,P	72.0	78.0
AP@0003	71.0	79.0
AP	71.0	79.0
P@0005	70.0	80.0
P@0003	70.0	80.0
RR	58.0	92.0
RBP	56.0	94.0
Hit@0003	48.0	102.0
Hit@0005	45.0	105.0
